"participantid_in_session","participantcode","playerid_in_group","attack","endowment","playertullock","production","opponent_production","playertotal_production","arming","opponent_arming","playertotal_arming","playerprize","playerprob","playerprob_percent","opponent_attack","win_conflict","playerearnings","playerpayoff4","playerpayround4","belief_attack","belief_arming","playerproduction_est","playertype","groupid_in_subsession","grouptullock","period","sessioncode","treatment","playerpayoff1","playerpayoff2","playerpayoff3","comp1","comp2","likestowin","compulsive","playerr1","playerr2","playerr3","playerr4","playerr5","playerr6","playerr7","playerr8","playerr9","playerr10","playeractive","playerpassive","playerl1","playerl2","playerl3","playerl4","playerl5","playerl6","playerhead","playergamble","playersend","playerback","playerreturn1","playerreturn2","playerreturn3","playerreturn4","playerreturn5","playerreturn6","playerreturn7","playerreturn8","playerreturn9","playerspieler1","playerspieler2","playerrole1","playerpayround1","playerpayround2","playerfinal_payoff","playerfinal_payoff_help","auszahlung","age","male","playerdem_study","bachelor","playerdem_understand","playerattack_profit","playerattack_spite","playerattack_super","playerattack_fight1","playerattack_fight2","playerattack_encourage","playerattack_chance","playerattack_mistake","playerattack_understand","playernoattack_risk","playernoattack_efficient","playernoattack_ownprofit","playernoattack_otherprofit","playernoattack_discourage","playernoattack_mistake","playernoattack_understand","playerarming_attack","playerarming_security","playerarming_noattack","playerarming_inefficient","playerarming_unequala1","playerarming_unequala2","playerarming_unequalb1","playerarming_unequalb2","playerarming_understand","id","session","indep_obs","conflict","rel_arming","arm_def","arm_att","unarmed_peace","Strategies3","choose_UP","choose_UC","choose_AP","choose_AC","riskaverse","econstudent"
7,"0fn8nj11",1,1,80,1,5,60,65,75,60,135,29,0.555555582046509,56,0,1,29,43,NA,NA,NA,NA,1,7,1,7,"zlc5ls51",0,80,-10,16,10,10,10,6,0,0,1,1,1,0,0,0,1,1,40,40,1,1,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,1,129,12.8999996185303,13,25,1,12,1,3,0,0,2,0,1,4,0,3,3,4,4,4,4,4,4,4,0,4,3,3,0,3,NA,NA,3,1,1,1,1,0.9375,NA,75,0,4,0,0,0,1,0.363636363636364,1
7,"0fn8nj11",1,1,80,1,5,80,85,75,40,115,38,0.652173936367035,65,1,0,0,NA,NA,NA,NA,NA,NA,7,1,2,"zlc5ls51",0,80,-10,16,10,10,10,6,0,0,1,1,1,0,0,0,1,1,40,40,1,1,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,1,129,12.8999996185303,13,25,1,12,1,3,0,0,2,0,1,4,0,3,3,4,4,4,4,4,4,4,0,4,3,3,0,3,NA,NA,3,1,1,1,1,0.9375,NA,75,0,4,0,0,0,1,0.363636363636364,1
7,"0fn8nj11",1,1,80,1,10,90,100,70,30,100,45,0.699999988079071,70,0,1,45,NA,NA,1,80,40,NA,7,1,1,"zlc5ls51",0,80,-10,16,10,10,10,6,0,0,1,1,1,0,0,0,1,1,40,40,1,1,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,1,129,12.8999996185303,13,25,1,12,1,3,0,0,2,0,1,4,0,3,3,4,4,4,4,4,4,4,0,4,3,3,0,3,NA,NA,3,1,1,1,1,0.875,NA,70,0,4,0,0,0,1,0.363636363636364,1
7,"0fn8nj11",1,1,80,1,5,100,105,75,20,95,47,0.789473712444305,79,0,1,47,NA,NA,NA,NA,NA,NA,6,1,3,"zlc5ls51",0,80,-10,16,10,10,10,6,0,0,1,1,1,0,0,0,1,1,40,40,1,1,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,1,129,12.8999996185303,13,25,1,12,1,3,0,0,2,0,1,4,0,3,3,4,4,4,4,4,4,4,0,4,3,3,0,3,NA,NA,3,1,1,1,1,0.9375,NA,75,0,4,0,0,0,1,0.363636363636364,1
7,"0fn8nj11",1,1,80,1,5,90,95,75,30,105,43,0.714285731315613,71,0,1,43,NA,NA,NA,NA,NA,NA,7,1,4,"zlc5ls51",0,80,-10,16,10,10,10,6,0,0,1,1,1,0,0,0,1,1,40,40,1,1,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,1,129,12.8999996185303,13,25,1,12,1,3,0,0,2,0,1,4,0,3,3,4,4,4,4,4,4,4,0,4,3,3,0,3,NA,NA,3,1,1,1,1,0.9375,NA,75,0,4,0,0,0,1,0.363636363636364,1
7,"0fn8nj11",1,1,80,1,5,90,95,75,30,105,43,0.714285731315613,71,0,1,43,NA,NA,NA,NA,NA,NA,1,1,5,"zlc5ls51",0,80,-10,16,10,10,10,6,0,0,1,1,1,0,0,0,1,1,40,40,1,1,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,1,129,12.8999996185303,13,25,1,12,1,3,0,0,2,0,1,4,0,3,3,4,4,4,4,4,4,4,0,4,3,3,0,3,NA,NA,3,1,1,1,1,0.9375,NA,75,0,4,0,0,0,1,0.363636363636364,1
7,"0fn8nj11",1,1,80,1,10,70,80,70,50,120,36,0.583333313465118,58,1,1,36,NA,NA,NA,NA,NA,NA,7,1,6,"zlc5ls51",0,80,-10,16,10,10,10,6,0,0,1,1,1,0,0,0,1,1,40,40,1,1,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,1,129,12.8999996185303,13,25,1,12,1,3,0,0,2,0,1,4,0,3,3,4,4,4,4,4,4,4,0,4,3,3,0,3,NA,NA,3,1,1,1,1,0.875,NA,70,0,4,0,0,0,1,0.363636363636364,1
12,"0pc5zgl4",2,1,120,1,0,1,1,120,79,199,0,0.603015065193176,60,1,0,0,NA,NA,NA,NA,NA,NA,1,1,4,"a9g7r98j",0,80,-10,21,3,3,3,3,0,0,1,1,1,0,0,0,1,1,40,40,1,1,1,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,1,113,11.3000001907349,11.5,43,1,7,0,2,0,2,2,2,2,3,1,3,3,3,3,3,3,3,3,3,1,2,3,3,NA,NA,0,3,3,8,8,8,1,1,NA,120,0,4,0,0,0,1,0.545454545454545,0
12,"0pc5zgl4",2,1,120,1,0,80,80,120,0,120,36,1,100,0,1,36,NA,NA,NA,NA,NA,NA,3,1,3,"a9g7r98j",0,80,-10,21,3,3,3,3,0,0,1,1,1,0,0,0,1,1,40,40,1,1,1,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,1,113,11.3000001907349,11.5,43,1,7,0,2,0,2,2,2,2,3,1,3,3,3,3,3,3,3,3,3,1,2,3,3,NA,NA,0,3,3,8,8,8,1,1,NA,120,0,4,0,0,0,1,0.545454545454545,0
12,"0pc5zgl4",2,1,120,1,0,60,60,120,20,140,27,0.857142865657806,86,0,1,27,NA,NA,NA,NA,NA,NA,7,1,6,"a9g7r98j",0,80,-10,21,3,3,3,3,0,0,1,1,1,0,0,0,1,1,40,40,1,1,1,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,1,113,11.3000001907349,11.5,43,1,7,0,2,0,2,2,2,2,3,1,3,3,3,3,3,3,3,3,3,1,2,3,3,NA,NA,0,3,3,8,8,8,1,1,NA,120,0,4,0,0,0,1,0.545454545454545,0
